$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[2,4,6,3]",7.000,"[0,0,0,0]",11.000,"[0,1,0,2]",4.000,0
"[2,4,6,4]",7.000,"[0,0,0,0]",12.000,"[0,1,0,1]",5.000,0
"[2,4,6,5]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,4,6,6]",7.000,"[0,0,0,0]",14.000,"[0,1,0,5]",7.000,0
"[2,4,6,7]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,4,6,8]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,0
"[2,4,6,9]",13.000,"[0,0,0,0]",17.000,"[0,1,0,2]",4.000,0
"[2,4,6,10]",15.000,"[0,0,0,0]",18.000,"[0,1,0,1]",3.000,0
"[2,4,6,11]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,4,6,12]",11.000,"[0,0,0,0]",20.000,"[0,1,0,5]",9.000,1
"[2,4,7,2]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,4,7,3]",11.000,"[0,0,0,0]",12.000,"[0,1,0,0]",1.000,0
"[2,4,7,4]",9.000,"[0,0,0,2]",13.000,"[0,1,0,2]",4.000,0
"[2,4,7,5]",13.000,"[0,0,0,0]",14.000,"[0,1,0,0]",1.000,0
"[2,4,7,6]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,4,7,7]",9.000,"[0,0,0,0]",16.000,"[0,1,0,6]",7.000,0
"[2,4,7,8]",13.000,"[0,0,0,2]",17.000,"[0,1,0,2]",4.000,0
"[2,4,7,9]",17.000,"[0,0,0,0]",18.000,"[0,1,0,0]",1.000,0
"[2,4,7,10]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,4,7,11]",19.000,"[0,0,0,0]",20.000,"[0,1,0,0]",1.000,0
"[2,4,7,12]",17.000,"[0,0,0,2]",21.000,"[0,1,0,2]",4.000,0
"[2,4,8,2]",7.000,"[0,0,0,0]",12.000,"[0,1,0,1]",5.000,1
"[2,4,8,3]",9.000,"[0,0,0,0]",13.000,"[0,1,0,0]",4.000,0
"[2,4,8,4]",7.000,"[0,0,0,0]",14.000,"[0,1,0,3]",7.000,1
"[2,4,8,5]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,0
"[2,4,8,6]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,0
"[2,4,8,7]",13.000,"[0,0,0,0]",17.000,"[0,1,0,0]",4.000,0
"[2,4,8,8]",7.000,"[0,0,0,0]",18.000,"[0,1,0,7]",11.000,1
"[2,4,8,9]",15.000,"[0,0,0,0]",19.000,"[0,1,0,0]",4.000,0
"[2,4,8,10]",15.000,"[0,0,0,0]",20.000,"[0,1,0,1]",5.000,0
"[2,4,8,11]",17.000,"[0,0,0,0]",21.000,"[0,1,0,0]",4.000,0
"[2,4,8,12]",15.000,"[0,0,0,0]",22.000,"[0,1,0,3]",7.000,0
"[2,4,9,2]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,4,9,3]",11.000,"[0,0,0,0]",14.000,"[0,1,0,2]",3.000,0
"[2,4,9,4]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,0
"[2,4,9,5]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,4,9,6]",13.000,"[0,0,0,0]",17.000,"[0,1,0,2]",4.000,0
"[2,4,9,7]",17.000,"[0,0,0,0]",18.000,"[0,1,0,0]",1.000,0
"[2,4,9,8]",15.000,"[0,0,0,0]",19.000,"[0,1,0,0]",4.000,0
"[2,4,9,9]",11.000,"[0,0,0,0]",20.000,"[0,1,0,8]",9.000,0
"[2,4,9,10]",19.000,"[0,0,0,0]",21.000,"[0,1,0,0]",2.000,0
"[2,4,9,11]",21.000,"[0,0,0,0]",22.000,"[0,1,0,0]",1.000,0
"[2,4,9,12]",17.000,"[0,0,0,6]",23.000,"[0,1,0,8]",6.000,0
"[2,4,10,2]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,4,10,3]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,4,10,4]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,0
"[2,4,10,5]",11.000,"[0,0,0,0]",17.000,"[0,1,0,4]",6.000,0
"[2,4,10,6]",15.000,"[0,0,0,0]",18.000,"[0,1,0,1]",3.000,0
"[2,4,10,7]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,4,10,8]",15.000,"[0,0,0,0]",20.000,"[0,1,0,1]",5.000,0
"[2,4,10,9]",19.000,"[0,0,0,0]",21.000,"[0,1,0,0]",2.000,0
"[2,4,10,10]",11.000,"[0,0,0,0]",22.000,"[0,1,0,9]",11.000,0
"[2,4,10,11]",21.000,"[0,0,0,0]",23.000,"[0,1,0,0]",2.000,0
"[2,4,10,12]",19.000,"[0,0,0,0]",24.000,"[0,1,0,1]",5.000,0
"[2,4,11,2]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,4,11,3]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,4,11,4]",13.000,"[0,0,0,2]",17.000,"[0,1,0,2]",4.000,0
"[2,4,11,5]",17.000,"[0,0,0,0]",18.000,"[0,1,0,0]",1.000,0
"[2,4,11,6]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,4,11,7]",19.000,"[0,0,0,0]",20.000,"[0,1,0,0]",1.000,0
"[2,4,11,8]",17.000,"[0,0,0,2]",21.000,"[0,1,0,2]",4.000,0
"[2,4,11,9]",21.000,"[0,0,0,0]",22.000,"[0,1,0,0]",1.000,0
"[2,4,11,10]",21.000,"[0,0,0,0]",23.000,"[0,1,0,0]",2.000,0
"[2,4,11,11]",13.000,"[0,0,0,0]",24.000,"[0,1,0,10]",11.000,0
"[2,4,11,12]",21.000,"[0,0,0,2]",25.000,"[0,1,0,2]",4.000,0
"[2,4,12,2]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,1
"[2,4,12,3]",11.000,"[0,0,0,0]",17.000,"[0,1,0,2]",6.000,1
"[2,4,12,4]",11.000,"[0,0,0,0]",18.000,"[0,1,0,3]",7.000,1
"[2,4,12,5]",15.000,"[0,0,0,0]",19.000,"[0,1,0,0]",4.000,0
"[2,4,12,6]",11.000,"[0,0,0,0]",20.000,"[0,1,0,5]",9.000,1
"[2,4,12,7]",17.000,"[0,0,0,0]",21.000,"[0,1,0,0]",4.000,0
"[2,4,12,8]",15.000,"[0,0,0,0]",22.000,"[0,1,0,3]",7.000,0
"[2,4,12,9]",17.000,"[0,0,0,0]",23.000,"[0,1,0,2]",6.000,0
"[2,4,12,10]",19.000,"[0,0,0,0]",24.000,"[0,1,0,1]",5.000,0
"[2,4,12,11]",21.000,"[0,0,0,0]",25.000,"[0,1,0,0]",4.000,0
"[2,4,12,12]",11.000,"[0,0,0,0]",26.000,"[0,1,0,11]",15.000,1
"[2,5,2,2]",5.000,"[0,0,0,0]",7.000,"[0,0,1,0]",2.000,0
"[2,5,2,3]",7.000,"[0,0,0,0]",8.000,"[0,0,1,0]",1.000,0
"[2,5,2,4]",7.000,"[0,0,0,0]",9.000,"[0,0,1,0]",2.000,0
"[2,5,2,5]",6.000,"[0,0,0,1]",10.000,"[0,0,1,0]",4.000,0
"[2,5,2,6]",9.000,"[0,0,0,0]",11.000,"[0,0,1,0]",2.000,0
"[2,5,2,7]",11.000,"[0,0,0,0]",12.000,"[0,0,1,0]",1.000,0
"[2,5,2,8]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[2,5,2,9]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[2,5,2,10]",9.000,"[0,0,0,0]",15.000,"[0,0,1,0]",6.000,1
"[2,5,2,11]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[2,5,2,12]",15.000,"[0,0,0,0]",17.000,"[0,0,1,0]",2.000,0
"[2,5,3,2]",7.000,"[0,0,0,0]",8.000,"[0,0,0,1]",1.000,0
"[2,5,3,3]",7.000,"[0,0,0,0]",9.000,"[0,0,0,2]",2.000,0
"[2,5,3,4]",9.000,"[0,0,0,0]",10.000,"[0,0,0,1]",1.000,0
"[2,5,3,5]",7.000,"[0,0,0,2]",11.000,"[0,0,0,1]",4.000,0
"[2,5,3,6]",9.000,"[0,0,0,0]",12.000,"[0,0,0,5]",3.000,0
"[2,5,3,7]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[2,5,3,8]",13.000,"[0,0,0,0]",14.000,"[0,0,0,1]",1.000,0
"[2,5,3,9]",13.000,"[0,0,0,0]",15.000,"[0,0,0,2]",2.000,0
"[2,5,3,10]",11.000,"[0,0,0,2]",16.000,"[0,0,0,1]",5.000,0
"[2,5,3,11]",17.000,"[0,0,0,0]",17.000,"[0,0,0,0]",0.000,0
"[2,5,3,12]",15.000,"[0,0,0,0]",18.000,"[0,0,0,5]",3.000,0
"[2,5,4,2]",7.000,"[0,0,0,0]",9.000,"[0,0,1,0]",2.000,0
"[2,5,4,3]",9.000,"[0,0,0,0]",10.000,"[0,0,1,0]",1.000,0
"[2,5,4,4]",7.000,"[0,0,0,0]",11.000,"[0,0,1,0]",4.000,0
"[2,5,4,5]",8.000,"[0,0,0,3]",12.000,"[0,0,1,2]",4.000,0
"[2,5,4,6]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[2,5,4,7]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[2,5,4,8]",11.000,"[0,0,0,0]",15.000,"[0,0,1,0]",4.000,0
"[2,5,4,9]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[2,5,4,10]",11.000,"[0,0,0,2]",17.000,"[0,0,1,2]",6.000,0
"[2,5,4,11]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[2,5,4,12]",15.000,"[0,0,0,0]",19.000,"[0,0,1,0]",4.000,0
"[2,5,5,2]",5.000,"[0,0,0,0]",10.000,"[0,0,4,1]",5.000,0
"[2,5,5,3]",7.000,"[0,0,0,0]",11.000,"[0,0,4,0]",4.000,0
"[2,5,5,4]",7.000,"[0,0,0,0]",12.000,"[0,0,4,1]",5.000,0
"[2,5,5,5]",5.000,"[0,0,0,0]",13.000,"[0,0,4,3]",8.000,0
"[2,5,5,6]",9.000,"[0,0,0,0]",14.000,"[0,0,4,1]",5.000,0
"[2,5,5,7]",11.000,"[0,0,0,0]",15.000,"[0,0,4,0]",4.000,0
"[2,5,5,8]",11.000,"[0,0,0,0]",16.000,"[0,0,4,1]",5.000,0
"[2,5,5,9]",13.000,"[0,0,0,0]",17.000,"[0,0,4,0]",4.000,0
"[2,5,5,10]",9.000,"[0,0,0,0]",18.000,"[0,0,4,3]",9.000,1
"[2,5,5,11]",15.000,"[0,0,0,0]",19.000,"[0,0,4,0]",4.000,0
"[2,5,5,12]",15.000,"[0,0,0,0]",20.000,"[0,0,4,1]",5.000,0
"[2,5,6,2]",9.000,"[0,0,0,0]",11.000,"[0,0,1,0]",2.000,0
"[2,5,6,3]",9.000,"[0,0,0,0]",12.000,"[0,0,1,0]",3.000,0
"[2,5,6,4]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[2,5,6,5]",10.000,"[0,0,0,0]",14.000,"[0,0,1,4]",4.000,0
"[2,5,6,6]",9.000,"[0,0,0,0]",15.000,"[0,0,1,0]",6.000,0
"[2,5,6,7]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[2,5,6,8]",15.000,"[0,0,0,0]",17.000,"[0,0,1,0]",2.000,0
"[2,5,6,9]",15.000,"[0,0,0,0]",18.000,"[0,0,1,0]",3.000,0
"[2,5,6,10]",13.000,"[0,0,0,4]",19.000,"[0,0,1,4]",6.000,0
"[2,5,6,11]",19.000,"[0,0,0,0]",20.000,"[0,0,1,0]",1.000,0
"[2,5,6,12]",15.000,"[0,0,0,0]",21.000,"[0,0,1,0]",6.000,0
"[2,5,7,2]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[2,5,7,3]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[2,5,7,4]",13.000,"[0,0,0,0]",14.000,"[0,0,0,1]",1.000,0
"[2,5,7,5]",11.000,"[0,0,0,1]",15.000,"[0,0,0,0]",4.000,0
"[2,5,7,6]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[2,5,7,7]",11.000,"[0,0,0,0]",17.000,"[0,0,0,6]",6.000,0
"[2,5,7,8]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[2,5,7,9]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[2,5,7,10]",15.000,"[0,0,0,6]",20.000,"[0,0,0,5]",5.000,0
"[2,5,7,11]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[2,5,7,12]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[2,5,8,2]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[2,5,8,3]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[2,5,8,4]",11.000,"[0,0,0,0]",15.000,"[0,0,1,0]",4.000,0
"[2,5,8,5]",12.000,"[0,0,0,2]",16.000,"[0,0,1,1]",4.000,0
"[2,5,8,6]",15.000,"[0,0,0,0]",17.000,"[0,0,1,0]",2.000,0
"[2,5,8,7]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[2,5,8,8]",11.000,"[0,0,0,0]",19.000,"[0,0,1,0]",8.000,0
"[2,5,8,9]",19.000,"[0,0,0,0]",20.000,"[0,0,1,0]",1.000,0
"[2,5,8,10]",15.000,"[0,0,0,6]",21.000,"[0,0,1,6]",6.000,0
"[2,5,8,11]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[2,5,8,12]",19.000,"[0,0,0,0]",23.000,"[0,0,1,0]",4.000,0
"[2,5,9,2]",13.000,"[0,0,0,0]",14.000,"[0,0,0,1]",1.000,0
"[2,5,9,3]",13.000,"[0,0,0,0]",15.000,"[0,0,0,2]",2.000,0
"[2,5,9,4]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[2,5,9,5]",13.000,"[0,0,0,3]",17.000,"[0,0,0,2]",4.000,0
"[2,5,9,6]",15.000,"[0,0,0,0]",18.000,"[0,0,0,5]",3.000,0
"[2,5,9,7]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[2,5,9,8]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[2,5,9,9]",13.000,"[0,0,0,0]",21.000,"[0,0,0,8]",8.000,0
"[2,5,9,10]",17.000,"[0,0,0,8]",22.000,"[0,0,0,7]",5.000,0
"[2,5,9,11]",23.000,"[0,0,0,0]",23.000,"[0,0,0,0]",0.000,0
"[2,5,9,12]",21.000,"[0,0,0,0]",24.000,"[0,0,0,5]",3.000,0
"[2,5,10,2]",9.000,"[0,0,0,0]",15.000,"[0,0,9,0]",6.000,1
"[2,5,10,3]",11.000,"[0,0,0,0]",16.000,"[0,0,9,0]",5.000,0
"[2,5,10,4]",11.000,"[0,0,0,0]",17.000,"[0,0,9,0]",6.000,0
"[2,5,10,5]",9.000,"[0,0,0,0]",18.000,"[0,0,9,3]",9.000,1
"[2,5,10,6]",13.000,"[0,0,0,0]",19.000,"[0,0,9,0]",6.000,0
"[2,5,10,7]",15.000,"[0,0,0,0]",20.000,"[0,0,9,0]",5.000,0
"[2,5,10,8]",15.000,"[0,0,0,0]",21.000,"[0,0,9,0]",6.000,0
"[2,5,10,9]",17.000,"[0,0,0,0]",22.000,"[0,0,9,0]",5.000,0
"[2,5,10,10]",9.000,"[0,0,0,0]",23.000,"[0,0,9,8]",14.000,1
"[2,5,10,11]",19.000,"[0,0,0,0]",24.000,"[0,0,9,0]",5.000,0
"[2,5,10,12]",19.000,"[0,0,0,0]",25.000,"[0,0,9,0]",6.000,0
"[2,5,11,2]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[2,5,11,3]",17.000,"[0,0,0,0]",17.000,"[0,0,0,0]",0.000,0
"[2,5,11,4]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[2,5,11,5]",15.000,"[0,0,0,0]",19.000,"[0,0,0,4]",4.000,0
"[2,5,11,6]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[2,5,11,7]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[2,5,11,8]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[2,5,11,9]",23.000,"[0,0,0,0]",23.000,"[0,0,0,0]",0.000,0
"[2,5,11,10]",19.000,"[0,0,0,0]",24.000,"[0,0,0,9]",5.000,0
"[2,5,11,11]",15.000,"[0,0,0,0]",25.000,"[0,0,0,10]",10.000,0
"[2,5,11,12]",25.000,"[0,0,0,0]",26.000,"[0,0,0,1]",1.000,0
"[2,5,12,2]",15.000,"[0,0,0,0]",17.000,"[0,0,1,0]",2.000,0
"[2,5,12,3]",15.000,"[0,0,0,0]",18.000,"[0,0,1,0]",3.000,0
"[2,5,12,4]",15.000,"[0,0,0,0]",19.000,"[0,0,1,0]",4.000,0
"[2,5,12,5]",16.000,"[0,0,0,1]",20.000,"[0,0,1,0]",4.000,0
"[2,5,12,6]",15.000,"[0,0,0,0]",21.000,"[0,0,1,0]",6.000,0
"[2,5,12,7]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[2,5,12,8]",19.000,"[0,0,0,0]",23.000,"[0,0,1,0]",4.000,0
"[2,5,12,9]",21.000,"[0,0,0,0]",24.000,"[0,0,1,0]",3.000,0
"[2,5,12,10]",19.000,"[0,0,0,0]",25.000,"[0,0,1,0]",6.000,0
"[2,5,12,11]",25.000,"[0,0,0,0]",26.000,"[0,0,1,0]",1.000,0
"[2,5,12,12]",15.000,"[0,0,0,0]",27.000,"[0,0,1,0]",12.000,0
"[2,6,2,2]",5.000,"[0,0,0,0]",8.000,"[0,1,0,1]",3.000,1
"[2,6,2,3]",5.000,"[0,0,0,0]",9.000,"[0,1,0,1]",4.000,1
"[2,6,2,4]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,0
"[2,6,2,5]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,6,2,6]",5.000,"[0,0,0,0]",12.000,"[0,1,0,1]",7.000,1
"[2,6,2,7]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,6,2,8]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,6,2,9]",11.000,"[0,0,0,0]",15.000,"[0,1,0,1]",4.000,0
"[2,6,2,10]",13.000,"[0,0,0,0]",16.000,"[0,1,0,1]",3.000,0
"[2,6,2,11]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[2,6,2,12]",11.000,"[0,0,0,0]",18.000,"[0,1,0,1]",7.000,1
"[2,6,3,2]",5.000,"[0,0,0,0]",9.000,"[0,1,0,0]",4.000,1
"[2,6,3,3]",5.000,"[0,0,0,0]",10.000,"[0,1,0,2]",5.000,1
"[2,6,3,4]",7.000,"[0,0,0,0]",11.000,"[0,1,0,0]",4.000,0
"[2,6,3,5]",9.000,"[0,0,0,0]",12.000,"[0,1,0,0]",3.000,0
"[2,6,3,6]",5.000,"[0,0,0,0]",13.000,"[0,1,0,2]",8.000,1
"[2,6,3,7]",11.000,"[0,0,0,0]",14.000,"[0,1,0,0]",3.000,0
"[2,6,3,8]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,0
"[2,6,3,9]",11.000,"[0,0,0,0]",16.000,"[0,1,0,2]",5.000,0
"[2,6,3,10]",13.000,"[0,0,0,0]",17.000,"[0,1,0,0]",4.000,0
"[2,6,3,11]",15.000,"[0,0,0,0]",18.000,"[0,1,0,0]",3.000,0
"[2,6,3,12]",11.000,"[0,0,0,0]",19.000,"[0,1,0,2]",8.000,1
"[2,6,4,2]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,0
"[2,6,4,3]",7.000,"[0,0,0,2]",11.000,"[0,1,0,0]",4.000,0
"[2,6,4,4]",7.000,"[0,0,0,0]",12.000,"[0,1,0,3]",5.000,0
"[2,6,4,5]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,6,4,6]",7.000,"[0,0,0,2]",14.000,"[0,1,0,3]",7.000,0
"[2,6,4,7]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,6,4,8]",11.000,"[0,0,0,0]",16.000,"[0,1,0,3]",5.000,0
"[2,6,4,9]",13.000,"[0,0,0,2]",17.000,"[0,1,0,0]",4.000,0
"[2,6,4,10]",15.000,"[0,0,0,0]",18.000,"[0,1,0,1]",3.000,0
"[2,6,4,11]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,6,4,12]",11.000,"[0,0,0,0]",20.000,"[0,1,0,3]",9.000,1
"[2,6,5,2]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,6,5,3]",9.000,"[0,0,0,1]",12.000,"[0,1,0,1]",3.000,0
"[2,6,5,4]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,6,5,5]",9.000,"[0,0,0,0]",14.000,"[0,1,0,4]",5.000,0
"[2,6,5,6]",9.000,"[0,0,0,4]",15.000,"[0,1,0,4]",6.000,0
"[2,6,5,7]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,6,5,8]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[2,6,5,9]",15.000,"[0,0,0,1]",18.000,"[0,1,0,1]",3.000,0
"[2,6,5,10]",13.000,"[0,0,0,0]",19.000,"[0,1,0,4]",6.000,0
"[2,6,5,11]",19.000,"[0,0,0,0]",20.000,"[0,1,0,0]",1.000,0
"[2,6,5,12]",15.000,"[0,0,0,4]",21.000,"[0,1,0,4]",6.000,0
"[2,6,6,2]",5.000,"[0,0,0,0]",12.000,"[0,1,0,1]",7.000,1
"[2,6,6,3]",5.000,"[0,0,0,0]",13.000,"[0,1,0,2]",8.000,1
"[2,6,6,4]",7.000,"[0,0,0,0]",14.000,"[0,1,0,1]",7.000,0
"[2,6,6,5]",9.000,"[0,0,0,0]",15.000,"[0,1,0,0]",6.000,0
"[2,6,6,6]",5.000,"[0,0,0,0]",16.000,"[0,1,0,5]",11.000,1
"[2,6,6,7]",11.000,"[0,0,0,0]",17.000,"[0,1,0,0]",6.000,0
"[2,6,6,8]",11.000,"[0,0,0,0]",18.000,"[0,1,0,1]",7.000,0
"[2,6,6,9]",11.000,"[0,0,0,0]",19.000,"[0,1,0,2]",8.000,0
"[2,6,6,10]",13.000,"[0,0,0,0]",20.000,"[0,1,0,1]",7.000,0
"[2,6,6,11]",15.000,"[0,0,0,0]",21.000,"[0,1,0,0]",6.000,0
"[2,6,6,12]",11.000,"[0,0,0,0]",22.000,"[0,1,0,5]",11.000,1
"[2,6,7,2]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,6,7,3]",11.000,"[0,0,0,0]",14.000,"[0,1,0,0]",3.000,0
"[2,6,7,4]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,6,7,5]",15.000,"[0,0,0,0]",16.000,"[0,1,0,0]",1.000,0
"[2,6,7,6]",11.000,"[0,0,0,0]",17.000,"[0,1,0,0]",6.000,0
"[2,6,7,7]",11.000,"[0,0,0,0]",18.000,"[0,1,0,6]",7.000,0
"[2,6,7,8]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,6,7,9]",17.000,"[0,0,0,0]",20.000,"[0,1,0,0]",3.000,0
"[2,6,7,10]",19.000,"[0,0,0,0]",21.000,"[0,1,0,0]",2.000,0
"[2,6,7,11]",21.000,"[0,0,0,0]",22.000,"[0,1,0,0]",1.000,0
"[2,6,7,12]",17.000,"[0,0,0,0]",23.000,"[0,1,0,0]",6.000,0
"[2,6,8,2]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,6,8,3]",11.000,"[0,0,0,0]",15.000,"[0,1,0,1]",4.000,0
"[2,6,8,4]",11.000,"[0,0,0,0]",16.000,"[0,1,0,3]",5.000,0
"[2,6,8,5]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[2,6,8,6]",11.000,"[0,0,0,0]",18.000,"[0,1,0,1]",7.000,0
"[2,6,8,7]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[2,6,8,8]",11.000,"[0,0,0,0]",20.000,"[0,1,0,7]",9.000,0
"[2,6,8,9]",17.000,"[0,0,0,0]",21.000,"[0,1,0,1]",4.000,0
"[2,6,8,10]",19.000,"[0,0,0,0]",22.000,"[0,1,0,1]",3.000,0
"[2,6,8,11]",21.000,"[0,0,0,0]",23.000,"[0,1,0,0]",2.000,0
"[2,6,8,12]",15.000,"[0,0,0,4]",24.000,"[0,1,0,7]",9.000,0
"[2,6,9,2]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,0
"[2,6,9,3]",11.000,"[0,0,0,0]",16.000,"[0,1,0,2]",5.000,0
"[2,6,9,4]",13.000,"[0,0,0,0]",17.000,"[0,1,0,0]",4.000,0
"[2,6,9,5]",15.000,"[0,0,0,0]",18.000,"[0,1,0,0]",3.000,0
"[2,6,9,6]",11.000,"[0,0,0,0]",19.000,"[0,1,0,2]",8.000,0
"[2,6,9,7]",17.000,"[0,0,0,0]",20.000,"[0,1,0,0]",3.000,0
"[2,6,9,8]",17.000,"[0,0,0,0]",21.000,"[0,1,0,0]",4.000,0
"[2,6,9,9]",11.000,"[0,0,0,0]",22.000,"[0,1,0,8]",11.000,0
"[2,6,9,10]",19.000,"[0,0,0,0]",23.000,"[0,1,0,0]",4.000,0
"[2,6,9,11]",21.000,"[0,0,0,0]",24.000,"[0,1,0,0]",3.000,0
"[2,6,9,12]",17.000,"[0,0,0,0]",25.000,"[0,1,0,2]",8.000,0
"[2,6,10,2]",13.000,"[0,0,0,0]",16.000,"[0,1,0,1]",3.000,0
"[2,6,10,3]",13.000,"[0,0,0,2]",17.000,"[0,1,0,0]",4.000,0
"[2,6,10,4]",15.000,"[0,0,0,0]",18.000,"[0,1,0,1]",3.000,0
"[2,6,10,5]",13.000,"[0,0,0,0]",19.000,"[0,1,0,4]",6.000,0
"[2,6,10,6]",13.000,"[0,0,0,2]",20.000,"[0,1,0,3]",7.000,0
"[2,6,10,7]",19.000,"[0,0,0,0]",21.000,"[0,1,0,0]",2.000,0
"[2,6,10,8]",19.000,"[0,0,0,0]",22.000,"[0,1,0,1]",3.000,0
"[2,6,10,9]",19.000,"[0,0,0,2]",23.000,"[0,1,0,0]",4.000,0
"[2,6,10,10]",13.000,"[0,0,0,0]",24.000,"[0,1,0,9]",11.000,0
"[2,6,10,11]",23.000,"[0,0,0,0]",25.000,"[0,1,0,0]",2.000,0
"[2,6,10,12]",19.000,"[0,0,0,2]",26.000,"[0,1,0,3]",7.000,0
