seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016058,10,0,4689,5.7757799790706486,"[(4689, 362880)]"
1755016059,10,0,1770,2.0085251971613616,"[(1770, 362880)]"
1755016060,10,0,1420,1.8242327040061355,"[(1420, 362880)]"
1755016061,10,0,1315,2.006501442985609,"[(1315, 362880)]"
1755016062,10,0,3054,1.9273294659797102,"[(3054, 120960), (3055, 241920)]"
1755016063,10,0,1638,6.582570978906006,"[(1638, 362880)]"
1755016064,10,0,1343,1.9742486209142953,"[(1343, 362880)]"
1755016065,10,0,1633,1.957486734027043,"[(1633, 362880)]"
1755016066,10,0,1673,1.9565090499818325,"[(1673, 362880)]"
1755016067,10,0,625,1.7932228199206293,"[(625, 362880)]"
1755016068,10,0,3181,1.8701568390242755,"[(3181, 362880)]"
1755016069,10,0,465,1.9049852101597935,"[(465, 362880)]"
1755016070,10,0,1630,7.746090558823198,"[(1630, 362880)]"
1755016071,10,0,3155,1.850515933940187,"[(3155, 181440), (3156, 181440)]"
1755016072,10,0,1595,1.9184795450419188,"[(1595, 362880)]"
1755016073,10,0,1307,1.9373865749221295,"[(1307, 76680), (1317, 113400), (1327, 172800)]"
1755016074,10,0,255,1.8814303991384804,"[(255, 311040), (305, 51840)]"
1755016075,10,0,1319,1.7972065811045468,"[(1319, 362880)]"
1755016076,10,0,1743,1.9405620980542153,"[(1743, 120960), (1793, 241920)]"
1755016077,10,0,288,1.8596469331532717,"[(288, 290304), (298, 72576)]"
1755016078,10,0,1349,9.208126340992749,"[(1349, 362880)]"
1755016079,10,0,142,1.9165046480484307,"[(142, 362880)]"
1755016080,10,0,4624,1.783177827950567,"[(4624, 362880)]"
1755016081,10,0,3025,1.8948375971522182,"[(3025, 362880)]"
1755016082,10,0,1842,1.9417846170254052,"[(1842, 362880)]"
1755016083,10,0,758,1.8485564880538732,"[(758, 362880)]"
1755016084,10,0,460,1.8977456837892532,"[(460, 362880)]"
1755016085,10,0,3969,1.8751971791498363,"[(3969, 362880)]"
1755016086,10,0,676,1.8423378090374172,"[(676, 362880)]"
1755016087,10,0,1964,1.9145419739652425,"[(1964, 362880)]"
1755016088,10,0,540,11.13312009209767,"[(540, 362880)]"
1755016089,10,0,753,2.016920912079513,"[(753, 362880)]"
1755016090,10,0,656,1.9884793660603464,"[(656, 181440), (666, 181440)]"
1755016091,10,0,4418,1.8876188630238175,"[(4418, 362880)]"
1755016092,10,0,1936,1.928993043024093,"[(1936, 362880)]"
1755016093,10,0,5024,1.846850487170741,"[(5024, 362880)]"
1755016094,10,0,1053,1.8514516949653625,"[(1053, 362880)]"
1755016095,10,0,1169,1.80676753888838,"[(1169, 362880)]"
1755016096,10,0,3321,1.926468012155965,"[(3321, 362880)]"
1755016097,10,0,686,1.9186842909548432,"[(686, 362880)]"
1755016098,10,0,2146,2.0160596729256213,"[(2146, 362880)]"
1755016099,10,0,714,1.9086406379938126,"[(714, 362880)]"
1755016100,10,0,1779,2.0075131480116397,"[(1779, 362880)]"
1755016101,10,0,1663,13.288335086079314,"[(1663, 362880)]"
1755016102,10,0,3611,1.9881436240393668,"[(3611, 362880)]"
1755016103,10,0,3021,1.8832064270973206,"[(3021, 362880)]"
1755016104,10,0,1494,1.98330096504651,"[(1494, 362880)]"
