seeds,num_tasks,per_jitter,best_latency,run_time_zero
1755016078,10,0,1349,2.5679997634142637e-05
1755016079,10,0,142,2.7398986276239157e-05
1755016080,10,0,4624,2.7688045520335436e-05
1755016081,10,0,3025,2.836697967723012e-05
1755016082,10,0,1842,2.6394031010568142e-05
1755016083,10,0,758,2.372701419517398e-05
1755016084,10,0,460,3.055599518120289e-05
1755016085,10,0,3969,2.657697768881917e-05
1755016086,10,0,676,2.4202046915888786e-05
1755016087,10,0,1964,2.4129985831677914e-05
1755016088,10,0,540,7.863296195864677e-05
1755016089,10,0,753,3.197003388777375e-05
1755016090,10,0,656,2.16779881156981e-05
1755016091,10,0,4418,2.4472014047205448e-05
1755016092,10,0,1936,2.442300319671631e-05
1755016093,10,0,5024,2.7826987206935883e-05
1755016094,10,0,1053,2.2532010916620493e-05
1755016095,10,0,1169,2.527498872950673e-05
1755016096,10,0,3321,2.5315966922789812e-05
1755016097,10,0,686,2.4662993382662535e-05
1755016098,10,0,2146,2.4879002012312412e-05
1755016099,10,0,714,2.301996573805809e-05
1755016100,10,0,1779,2.7386005967855453e-05
1755016101,10,0,1663,2.5264045689255e-05
1755016102,10,0,3611,2.586905611678958e-05
1755016103,10,0,3021,2.4984998162835836e-05
1755016104,10,0,1494,2.3914966732263565e-05
1755016105,10,0,1070,2.9142014682292938e-05
1755016106,10,0,3017,2.511701313778758e-05
1755016107,10,0,6940,2.4616019800305367e-05
1755016108,10,0,388,2.2174965124577284e-05
1755016109,10,0,1808,2.376496559008956e-05
1755016110,10,0,3677,2.656201831996441e-05
1755016111,10,0,280,2.307200338691473e-05
1755016112,10,0,384,2.544099697843194e-05
1755016113,10,0,1381,2.495298394933343e-05
1755016114,10,0,2094,2.3743021301925182e-05
1755016115,10,0,933,2.4775974452495575e-05
1755016116,10,0,1683,2.6089022867381573e-05
1755016117,10,0,2356,3.5262026358395815e-05
1755016118,10,0,1120,2.4240987841039896e-05
1755016119,10,0,631,2.291100099682808e-05
1755016120,10,0,1676,2.6950961910188198e-05
1755016121,10,0,3197,2.8616050258278847e-05
1755016122,10,0,720,2.2502033971250057e-05
1755016123,10,0,1448,2.330500865355134e-05
1755016124,10,0,337,2.337200567126274e-05
1755016125,10,0,3049,2.5329994969069958e-05
1755016126,10,0,1538,2.34409817494452e-05
1755016127,10,0,409,2.3200002033263445e-05
1755016128,10,0,2076,2.4781038518995047e-05
1755016129,10,0,509,2.4449953343719244e-05
1755016130,10,0,1715,2.6170979253947735e-05
1755016131,10,0,1821,2.455298090353608e-05
1755016132,10,0,1790,2.3239990696310997e-05
1755016133,10,0,842,2.26310221478343e-05
1755016134,10,0,1519,2.3299013264477253e-05
1755016135,10,0,4586,2.4435983505100012e-05
1755016136,10,0,1265,2.9488990548998117e-05
